,Zip Code,Geographic Area Name,Total,Population over 65,Occupied housing units,Total,Median income (dollars),Mean income (dollars),Male population,Female population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,HISPANIC OR LATINO
133,90623,90623,15554,2818,4845,4845,107480,127482,7786,7876,6299,727,32,7308,102,15662
134,90630,90630,47993,7454,15804,15804,93183,114859,23866,25339,24937,1893,237,17338,140,49205
135,90631,90631,67619,9516,21229,21229,83629,105671,33771,35293,39942,884,491,8553,0,69064
136,90638,90638,49012,8560,14350,14350,95723,108813,24009,25218,25180,883,299,10616,38,49227
137,90640,90640,62549,9340,18898,18898,56009,73941,30411,32319,35318,842,471,8622,40,62730
138,90650,90650,105549,12541,26964,26964,70667,83461,52545,52759,39322,4994,478,14431,728,105304
139,90660,90660,62928,9264,16852,16852,67636,80793,30077,32924,32910,635,376,1733,52,63001
140,90670,90670,14866,2472,4862,4862,71343,85445,7995,8705,7853,628,159,1161,9,16700
142,90701,90701,16591,2575,4468,4468,67765,83874,7886,8915,4735,850,60,6191,50,16801
143,90703,90703,49399,11702,15515,15515,105832,124258,25062,25527,10090,4341,172,29917,267,50589
144,90704,90704,4090,603,1553,1553,73287,88731,1998,1981,3243,4,0,17,1,3979
145,90706,90706,76615,8535,23240,23240,60011,76903,37604,39591,24423,10289,304,9449,428,77195
146,90710,90710,25457,4206,9230,9230,63907,84138,13311,14734,10775,3993,58,6160,554,28045
147,90712,90712,31499,4190,10338,10338,96634,108424,14962,16255,15401,3861,163,5942,139,31217
148,90713,90713,27925,3897,9111,9111,102970,114497,14118,14084,17092,1516,105,3825,525,28202
149,90715,90715,20388,2459,6018,6018,76105,90506,9674,10582,6949,1852,156,5461,219,20256
150,90716,90716,14184,1453,3670,3670,50149,57952,7261,7024,2866,577,73,1445,0,14285
151,90717,90717,21318,3700,8477,8477,71388,93904,10543,10965,12081,1325,170,3531,82,21508
152,90720,90720,21751,3980,7843,7843,106332,136620,10736,11525,15626,814,49,3102,38,22261
153,90723,90723,54099,4679,14207,14207,55670,64698,27491,27022,25717,4937,203,1688,370,54513
154,90731,90731,59662,8018,22695,22695,53456,79645,29853,30806,34014,4289,383,3299,117,60659
155,90732,90732,21115,4941,8810,8810,104567,120512,10837,11943,15087,1255,9,2876,100,22780
156,90740,90740,23729,9650,12550,12550,68947,109432,11293,13014,19254,556,77,2662,95,24307
159,90744,90744,53815,5381,14788,14788,50875,65582,28563,28317,30323,1672,1630,1828,262,56880
160,90745,90745,57251,8716,14936,14936,80176,97137,27920,29010,16747,4124,403,21330,1850,56930
161,90746,90746,25990,5766,8205,8205,89364,106260,13039,14036,4032,17270,188,2212,341,27075
162,90747,90747,0,0,0,0,-,-,0,0,0,0,0,0,0,0
163,90755,90755,11074,1495,4743,4743,75426,95685,5205,6340,5696,1305,8,2910,21,11545
164,90802,90802,39347,3645,20756,20756,54616,72678,20513,18449,23085,5558,598,3067,167,38962
165,90803,90803,32031,6479,16718,16718,90278,124551,15575,16551,25631,1346,158,2485,28,32126
166,90804,90804,40311,3023,14955,14955,52948,70607,19245,19994,21774,4898,388,6392,64,39239
167,90805,90805,93524,8429,27354,27354,50914,64669,46711,49284,24242,17815,1134,10201,1779,95995
168,90806,90806,42399,3937,12788,12788,54437,68969,20762,21228,19681,7006,379,8055,448,41990
169,90807,90807,31481,5363,12741,12741,78948,105802,16291,15911,15772,5021,90,4970,153,32202
170,90808,90808,38232,6290,13916,13916,110625,134422,19492,19838,28106,2011,516,3956,97,39330
171,90810,90810,36735,4337,9400,9400,60227,76205,18056,19195,15045,3912,262,8720,732,37251
172,90813,90813,58911,4496,17192,17192,38449,51358,29354,29026,27784,7070,1147,7428,248,58380
173,90814,90814,19131,2481,9165,9165,73391,94715,9212,10473,12954,2472,105,1871,146,19685
174,90815,90815,39733,6123,14556,14556,94559,119858,20155,21157,29961,2573,185,5155,45,41312
175,90822,90822,117,88,0,0,-,-,111,22,111,15,0,4,0,133
176,90831,90831,0,0,0,0,-,-,0,0,0,0,0,0,0,0
177,91001,91001,36126,6839,12669,12669,101061,141230,18596,19222,18854,9735,331,2108,64,37818
178,91006,91006,31715,6020,10575,10575,103224,136982,15966,16992,9640,426,61,19917,224,32958
179,91007,91007,34095,7262,11657,11657,83964,113517,16004,18112,10077,817,22,20284,29,34116
180,91008,91008,1391,398,426,426,96500,167073,488,596,683,18,13,316,0,1084
181,91010,91010,26074,4564,8060,8060,74738,96679,12287,14093,14386,1695,270,4037,18,26380
182,91011,91011,20280,3772,6434,6434,175652,254728,9831,10470,12249,154,0,6317,0,20301
183,91016,91016,40598,5896,14318,14318,77622,99260,19997,21108,25895,2209,172,6196,426,41105
184,91020,91020,8415,1414,3524,3524,67742,80793,4105,4528,5264,101,42,2049,85,8633
185,91024,91024,10917,2503,4664,4664,100988,140463,5077,5855,8603,112,41,1661,0,10932
186,91030,91030,25616,3574,9815,9815,104432,156657,12570,13067,14215,922,59,7818,0,25637
187,91040,91040,20372,3933,7339,7339,86594,105143,9900,10149,15578,244,156,2315,0,20049
188,91042,91042,27585,4472,9961,9961,64532,82384,13237,13729,21084,620,78,2187,3,26966
189,91046,91046,156,148,95,95,-,47632,91,67,134,0,0,0,24,158
190,91101,91101,20460,2899,10739,10739,70075,88213,9680,11715,11011,1485,158,5284,33,21395
191,91103,91103,27480,4285,8515,8515,71231,117660,13143,14516,10556,4338,87,2701,19,27659
192,91104,91104,36751,5733,13164,13164,77919,109067,17951,19923,20870,2816,151,3914,201,37874
193,91105,91105,11254,3322,5505,5505,131158,175410,6120,6497,8435,730,27,2184,0,12617
194,91106,91106,24229,3258,10665,10665,82211,116786,12715,12828,12930,1802,66,5702,4,25543
195,91107,91107,32940,6020,12466,12466,102850,138128,15946,16557,18330,1714,42,8144,50,32503
196,91108,91108,13361,2801,4582,4582,165765,230810,6540,6835,4338,246,0,7979,27,13375
197,91201,91201,22781,4107,8309,8309,60101,92158,10671,12610,19392,339,106,1729,68,23281
198,91202,91202,22830,4777,8903,8903,75703,101777,10859,12486,17826,753,9,3291,0,23345
199,91203,91203,13220,2039,6110,6110,61071,81107,7411,7999,10826,350,77,2917,72,15410
200,91204,91204,16032,2920,6485,6485,49122,69009,9084,9639,13617,581,81,2588,0,18723
201,91205,91205,37810,6964,14382,14382,44835,66305,17452,20186,28378,660,51,5611,79,37638
202,91206,91206,33065,6486,13372,13372,70141,95022,16132,18607,25161,573,37,6781,16,34739
203,91207,91207,10506,1977,4081,4081,85956,138383,5230,5801,9447,87,0,995,0,11031
204,91208,91208,16245,2632,5855,5855,108374,150009,7522,8338,11207,86,46,3013,0,15860
